"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
15007509;"THE SHALLOWS";"ÁGUAS RASAS";2016;"JAUME COLLET-SERRA";"2015-10-09"
15007529;"DHEEPAN";"DHEEPAN O REFÚGIO";2015;"JACQUES AUDIARD";"2015-10-09"
16004966;"GHOSTBUSTERS III";"CAÇA-FANTASMAS (2016)";2016;"PAUL FEIG";"2015-10-09"
16004973;"JASON BOURNE";"JASON BOURNE";2016;"PAUL GREENGRASS";"2015-10-09"
16007338;"THE PURGE: ELECTION YEAR";"12 HORAS PARA SOBREVIVER - O ANO DA ELEIÇÃO";2016;"JAMES DEMONACO";"2015-10-09"
15005582;"DIOR AND I";"DIOR E EU";2014;"FRÉDÉRIC TCHENG";"2015-10-08"
15001502;"TUDO QUE APRENDEMOS JUNTOS";"TUDO QUE APRENDEMOS JUNTOS";2014;"SERGIO MACHADO RIBEIRO DOS SANTOS";"2015-10-07"
15004046;"A VIZINHANÇA DO TIGRE";"A VIZINHANÇA DO TIGRE";2014;"AFFONSO UCHOA ALONSO RODRIGUES";"2015-10-07"
15007365;"PAPA OU MAMAN";"RELACIONAMENTO À FRANCESA";2015;"MARTIN BOURBOULON";"2015-10-07"
15007435;"CIRCO VOADOR - A NAVE";"CIRCO VOADOR - A NAVE";2015;"TAINA CARVALHO OTTONI DE MENEZES";"2015-10-07"
15007515;"MAMMA ROMA";"MAMMA ROMA";1962;"PIER PAOLO PASOLINI";"2015-10-07"
15007549;"TRAVESSIAS";"TRAVESSIAS";2015;"SALETE PAULINA MACHADO SIRINO";"2015-10-07"
729414;"POR UM PUNHADO DE DÓLARES - OS NOVOS EMIGRADOS";"POR UM PUNHADO DE DÓLARES - OS NOVOS EMIGRADOS";2014;"LEONARDO BERLESE DE MATOS DOURADO";"2015-10-07"
15007329;"BURNT";"PEGANDO FOGO";2015;"JOHN WELLS";"2015-10-06"
15007406;"SIN HIJOS";"SEM FILHOS";2015;"ARIEL WINOGRAD";"2015-10-06"
15007487;"THE SMELL OF US";"O CHEIRO DA GENTE";2014;"LARRY CLARK";"2015-10-06"
15007513;"LOVE THE COOPERS";"O NATAL DOS COOPERS";2015;"JESSIE NELSON";"2015-10-06"
15006606;"MORTADELO & FILEMON : MISSION IMPLAUSIBLE";"MORTADELO & FILEMON : MISSÃO IMPLAUSÍVEL";2014;"JAVIER FESSER";"2015-10-05"
15007413;"MISTRESS AMERICA";"MISTRESS AMERICA";2015;"NOAH BAUMBACH";"2015-10-05"
15007427;"SIMINDIS KUNDZULI";"A ILHA DO MILHARAL";2014;"GEORGE OVASHVILI";"2015-10-05"
15007428;"THE DRESSMAKER";"A VINGANÇA ESTÁ NA MODA";2015;"JOCELYN MOORHOUSE";"2015-10-05"
15007232;"CINCO VEZES CHICO O VELHO E SUA GENTE";"CINCO VEZES CHICO O VELHO E SUA GENTE";2015;"ANA RIEPER";"2015-10-02"
15006970;"ED SHEERAN - JUMPERS FOR GOALPOSTS";"ED SHEERAN";2015;"WILLIAM KENTRIDGE";"2015-10-01"
15007109;"A LENDA DO GATO PRETO";"A LENDA DO GATO PRETO";2015;"ANTONIO CLEBIO VIRIATO RIBEIRO";"2015-10-01"
15006227;"MITA TOVA";"A FESTA DE DESPEDIDA";2014;"SHARON MAYMON";"2015-09-30"
15007090;"LA BANDA PICASSO";"PICASSO E O ROUBO DA MONA LISA";2012;"FERNANDO COLOMO";"2015-09-30"
15007173;"ROCK THE KASBAH";"ROCK EM CABUL";2015;"BARRY LEVINSON";"2015-09-30"
15007175;"THE NIGHT BEFORE";"SEXO, DROGAS E JINGLE BELLS";2015;"JONATHAN LEVINE";"2015-09-30"
15007251;"MISS YOU ALREADY";"JÁ ESTOU COM SAUDADES";2015;"CATHERINE HARDWICKE";"2015-09-30"
15007348;"MARSHLAND";"PECADOS ANTIGOS, LONGAS SOMBRAS";2014;"ALBERTO RODRIGUEZ";"2015-09-30"
15007354;"MUSTANG";"CINCO GRAÇAS";2015;"DENIZ GAMZE";"2015-09-30"
15007294;"VIVIR ES FÁCIL CON LOS OJOS CERRADOS";"VIVER É FACIL COM OS OLHOS FECHADOS";2013;"DAVID TRUEBA";"2015-09-29"
15007027;"ANDRE RIEU'S 2015 MAASTRICHT CONCERT";"ANDRE RIEU";2015;"JANELLE MASON";"2015-09-28"
15007204;"STEVE JOBS";"STEVE JOBS";2015;"DANNY BOYLE";"2015-09-28"
15007205;"THE LADY IN THE VAN";"A SENHORA DA VAN";2015;"NICHOLAS HYTNER";"2015-09-28"
15003403;"CALIFÓRNIA";"CALIFÓRNIA";2015;"MARINA IZAURA JEHA PERSON";"2015-09-25"
15006893;"PIADEIROS";"PIADEIROS";2015;"GUSTAVO ROSA DE MOURA";"2015-09-25"
15007089;"HIPPOCRATE";"HIPÓCRATES";2014;"THOMAS LILTI";"2015-09-25"
15007092;"ASTÉRIX - LE DOMAINE DES DIEUX";"ASTERIX - E O DOMÍNIO DOS DEUSES";2014;"ALEXANDRE ASTIER";"2015-09-25"
15007130;"AQUI DESTE LUGAR";"AQUI DESTE LUGAR";2015;"FERNANDO CESAR ROSELINO COIMBRA";"2015-09-25"
15007161;"THE END OF THE TOUR";"O FINAL DA TURNÊ";2015;"JAMES PONSOLDT";"2015-09-25"
15007162;"UNFRIENDED";"AMIZADE DESFEITA";2015;"CRYSTAL MARIE HILYARD";"2015-09-25"
15007121;"BETINHO-A ESPERANÇA EQUILIBRISTA";"BETINHO-A ESPERANÇA EQUILIBRISTA";2015;"VICTOR LOPES";"2015-09-24"
14025773;"JAWS";"TUBARÃO";1975;"STEVEN SPIELBERG";"2015-09-22"
15000966;"THE MATRIX";"MATRIX";1999;"LANA WACHOWSKI, ANDY WACHOWSKI";"2015-09-22"
15001653;"THE SHAWSHANK REDEMPTION";"UM SONHO DE LIBERDADE";1994;"FRANK DARABONT";"2015-09-22"
15006682;"FRIDAY THE 13TH";"SEXTA-FEIRA 13";1980;"SEAN S. CUNNINGHAM";"2015-09-22"
14025484;"AU FIL D'ARIANE";"O FIO DE ARIANE";2014;"ROBERT GUÉDIGUIAN";"2015-09-21"
15007035;"MR. HOLMES";"SR. HOLMES";2015;"BILL CONDON";"2015-09-21"
15005917;"CREPÚSCULO BOCA DA NOITE";"CREPÚSCULO BOCA DA NOITE";2015;"ROGERIO DE SOUSA BENICIO";"2015-09-18"
15006908;"SORG OG GLÆDE";"TRISTEZA E ALEGRIA";2013;"NILS MALMROS";"2015-09-18"
15006915;"WE ARE YOUR FRIENDS";"MÚSICA, AMIGOS E FESTA";2015;"MAX JOSEPH";"2015-09-18"
15007005;"TWO MEN IN TOWN";"DOIS HOMENS CONTRA UMA CIDADE";2014;"RACHID BOUCHAREB";"2015-09-18"
15006844;"PAN";"PETER PAN";2015;"JOE WRIGHT";"2015-09-17"
15007013;"OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O)";"OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O)";2015;"TOMAS COELHO DE SANSON PORTELLA";"2015-09-17"
11497;"CARLOTA JOAQUINA, PRINCESA DO BRASIL";"CARLOTA JOAQUINA, PRINCESA DO BRASIL";1995;"CARLA CAMURATI";"2015-09-15"
15005729;"AS AVENTURAS DO PEQUENO COLOMBO";"AS AVENTURAS DO PEQUENO COLOMBO";2015;"RODRIGO GAVA REDDO ALVES";"2015-09-15"
15006612;"MUNDO CÃO";"MUNDO CÃO";2015;"MARCOS JOEL JORGE";"2015-09-15"
15006723;"THE LAST WITCH HUNTER";"O ULTIMO CAÇADOR DE BRUXAS";2015;"BRECK EISNER";"2015-09-15"
15006829;"MARY'S LAND - TIERRA DE MARIA";"TERRA DE MARIA";2013;"JUAN MANUEL COTELO OÑATE";"2015-09-15"
15006890;"OLMO AND THE SEAGULL";"OLMO E A GAIVOTA";2015;"LEA GLOB";"2015-09-15"
15006749;"STRAIGHT OUTTA COMPTON";"STRAIGHT OUTTA COMPTON - A HISTÓRIA DO N.W.A";2015;"F. GARY GRAY";"2015-09-11"
15002902;"TERRA CABOCLA";"TERRA CABOCLA";2015;"MARCIA DE GUSMAO PARAISO CAVALCANTI";"2015-09-10"
15006503;"5 FLIGHTS UP";"RUTH & ALEX";2014;"RICHARD LONCRAINE";"2015-09-10"
15006627;"SCOUTS GUIDE TO THE ZOMBIE APOCALYPSE";"COMO SOBREVIVER A UM ATAQUE ZUMBI";2015;"CHRISTOPHER LANDON";"2015-09-10"
15006628;"PARANORMAL ACTIVITY: THE GHOST DIMENSION";"ATIVIDADE PARANORMAL: DIMENSÃO FANTASMA";2015;"GREGORY PLOTKIN";"2015-09-10"
15006720;"ÓRFÃOS DO ELDORADO";"ÓRFÃOS DO ELDORADO";2015;"GUILHERME FERNANDES CEZAR COELHO";"2015-09-09"
15006724;"THE HUNGER GAMES: MOCKINGJAY - PART 2";"JOGOS VORAZES: A ESPERANÇA - O FINAL";2015;"FRANCIS LAWRENCE";"2015-09-09"
15006273;"VENUS IN FUR";"A PELE DE VÊNUS";2013;"ROMAN POLANSKI";"2015-09-08"
15006568;"GRACE OF MONACO";"GRACE DE MÔNACO";2014;"OLIVIER DAHAN";"2015-09-08"
15006717;"DAMAS DO SAMBA";"DAMAS DO SAMBA";2015;"SUSANA MARA DA SILVA LIRA";"2015-09-08"
16001722;"AFTER LUCIA";"DEPOIS DE LUCIA";2012;"MICHEL FRANCO";"2015-09-04"
14027103;"BEIRA-MAR";"BEIRA-MAR";2014;"FILIPE CARTANA MATZEMBACHER";"2015-09-03"
15003159;"CAMINHO DE VOLTA.";"CAMINHO DE VOLTA.";2015;"JOSE JOFFILY BEZERRA FILHO";"2015-09-03"
15004222;"WOODY ALLEN: A DOCUMENTARY";"WOODY ALLEN: UM DOCUMENTARIO";2012;"ROBERT B. WEIDE";"2015-09-02"
15006566;"NOSFERATU - PHANTOM DER NACHT";"NOSFERATU - O VAMPIRO DA NOITE";1979;"WERNER HERZOG";"2015-09-02"
15006529;"VINODENTRO";"O VINHO PERFEITO";2013;"FERDINANDO VICENTINI ORGNANI";"2015-09-01"
15006545;"VAI QUE COLA - O FILME";"VAI QUE COLA - O FILME";2015;"CESAR EDUARDO RODRIGUES DE SOUZA";"2015-09-01"
731093;"UM FILME FRANCES";"UM FILME FRANCES";2014;"CARLOS VINICIUS BORGES";"2015-09-01"
15002506;"VIDA";"VIDA";2013;"TATIANA PATERNOST DE CARVALHO E VILLELA";"2015-08-31"
15004838;"BOTECO, MIL E UMA VEZES BOTECO";"BOTECO, MIL E UMA VEZES BOTECO";2015;"ROGÉRIO ROMANO BONATTO";"2015-08-31"
15006174;"MAZE RUNNER: SCORCH TRIALS";"MAZE RUNNER: PROVA DE FOGO";2015;"WES BALL";"2015-08-31"
15006175;"THE MARTIAN";"PERDIDO EM MARTE";2015;"RIDLEY SCOTT";"2015-08-31"
15006176;"BRIDGE OF SPIES";"PONTE DOS ESPIÕES";2015;"STEVEN SPIELBERG";"2015-08-31"
15006177;"ME AND EARL AND THE DYING GIRL";"EU, VOCÊ E A GAROTA QUE VAI MORRER";2015;"ALFONSO GOMEZ-REJON";"2015-08-31"
15006178;"THE 33";"OS 33";2015;"PATRICIA RIGGEN";"2015-08-31"
15002686;"SHE'S FUNNY THAT WAY";"SHE'S FUNNY THAT WAY";2014;"PETER BOGDANOVICH";"2015-08-28"
15006261;"AMY";"AMY";2015;"ASIF KAPADIA";"2015-08-26"
15006401;"DANCING ARABS";"OS ÁRABES TAMBÉM DANÇAM";2014;"ERAN RIKLIS";"2015-08-26"
15006402;"HEAVEN KNOWS WHAT";"AMOR, DROGAS E NOVA YORK";2014;"BEN SAFDIE";"2015-08-26"
15002762;"AUSÊNCIA";"AUSÊNCIA";2014;"GUSTAVO PEREIRA DA SILVA TEIXEIRA";"2015-08-24"
15006274;"POSSESSION OF MICHAEL KING";"A POSSESSÃO DO MAL";2014;"DAVID JUNG";"2015-08-24"
639354;"THA AIRPORT DATE";"THA AIRPORT DATE";2012;"LUCAS ESTEVAN SOARES";"2015-08-24"
714076;"EU NUNCA";"EU NUNCA";2013;"KAUE TELLOLI KACHVARTANIAN";"2015-08-24"
491802;"JAZZ VS. LOUPAN";"JAZZ VS. LOUPAN";2010;"M. MAX";"2015-08-21"
562357;"EU NÃO PRESTO";"EU NÃO PRESTO";2011;"IVY ALEXANDRA DE MATTOS ABUJAMRA";"2015-08-21"
15001867;"FILME SOBRE UM BOM FIM";"FILME SOBRE UM BOM FIM";2015;"IVANIR MIGOTTO";"2015-08-20"
15006139;"AMNISTIA";"ANISTIA";2011;"BUJAR ALIMANI";"2015-08-20"
15006173;"HITMAN: AGENT 47";"HITMAN: AGENTE 47";2015;"ALEKSANDER BACH";"2015-08-20"
15006289;"THE TRANSPORTER REFUELED";"CARGA EXPLOSIVA: O LEGADO";2015;"CAMILLE DELAMARRE";"2015-08-20"
731965;"MEIA HORA E AS MANCHETES QUE VIRAM MANCHETE";"MEIA HORA E AS MANCHETES QUE VIRAM MANCHETE";2014;"ANGELO ARENASIO DEFANTI BARBOSA";"2015-08-20"
15005915;"A FLORESTA QUE SE MOVE";"A FLORESTA QUE SE MOVE";2015;"VINICIUS GENTIL COIMBRA";"2015-08-19"
15006170;"AMERICAN ULTRA";"AMERICAN ULTRA";2015;"NIMA NOURIZADEH";"2015-08-18"
14025468;"AN OFFICER AND A GENTLEMAN";"A FORÇA DO DESTINO";1982;"TAYLOR HACKFORD";"2015-08-17"
14025649;"THE UNTOUCHABLES";"OS INTOCÁVEIS";1987;"BRIAN DE PALMA";"2015-08-17"
14027120;"ROSEMARY'S BABY";"O BEBÊ DE ROSEMARY";1968;"ROMAN POLANSKI";"2015-08-17"
15003985;"ENTER THE DRAGON";"OPERAÇÃO DRAGÃO";1973;"ROBERT CLOUSE";"2015-08-17"
14027635;"LA SAPIENZA";"LA SAPIENZA";2014;"EUGÈNE GREEN";"2015-08-14"
15005676;"O SAMBA";"O SAMBA";2014;"GEORGES GACHOT";"2015-08-14"
15006207;"ACCUSED (LUCIA DE B.)";"A ACUSADA";2014;"PAULA VAN DER OEST";"2015-08-14"
15005134;"A PALAVRA";"A PALAVRA";2012;"GUILHERME DE ALMEIDA PRADO";"2015-08-13"
15005581;"LAS INSOLADAS";"LAS INSOLADAS";2014;"GUSTAVO TARETTO";"2015-08-12"
15004778;"SPEAK NO EVIL";"PALAVRAS DIABÓLICAS";2013;"JAMES ELDEN";"2015-08-11"
15005869;"PARA SEMPRE TEU, CAIO F.";"PARA SEMPRE TEU, CAIO F.";2014;"CARLOS ANDRÉ HORÁCIO SALLES";"2015-08-11"
15005950;"BRAM STOKER'S DRACULA";"DRÁCULA DE BRAM STOKER";1992;"FRANCIS FORD COPPOLA";"2015-08-11"
15004486;"ORESTES";"ORESTES";2015;"RODRIGO LOPES SIQUEIRA";"2015-08-10"
14027878;"MULAN";"MULANS";1998;"TONY BANCROFT, BARRY COOK";"2015-08-07"
14027957;"LILO & STITCH";"LILO & STITCH";2002;"CHRIS SANDERS";"2015-08-07"
14028045;"LA DOLCE VITA";"A DOCE VIDA";1960;"FEDERICO FELLINI";"2015-08-07"
15005580;"JIMMY'S HALL";"JIMMY'S HALL";2014;"KEN LOACH";"2015-08-07"
15005891;"REACH ME";"REACH ME";2015;"STEFANO CAPUZZI LAPIETRA";"2015-08-07"
432566;"DIA DE JOGO";"DIA DE JOGO";2009;"LÍGIA WALPER";"2015-08-07"
15005961;"MARROCOS";"MARROCOS";2015;"ANDREA CARLA NERO VIEIRA";"2015-08-06"
15005621;"QUANTO TEMPO O TEMPO TEM";"QUANTO TEMPO O TEMPO TEM";2015;"ADRIANA DE LUCENA NAVAIS DUTRA";"2015-08-05"
14025486;"ADIEU AU LANGAGE";"ADEUS À LINGUAGEM";2014;"JEAN-LUC GODARD";"2015-08-03"
15005920;"PAYSANDÚ 100 ANOS DE PAYXÃO";"PAYSANDÚ 100 ANOS DE PAYXÃO";2015;"EDUARDO LEONEL ALBERGARIA";"2015-08-03"
15003068;"LA RANÇON DE LA GLOIRE";"O PREÇO DA FAMA";2014;"XAVIER BEAUVOIS";"2015-07-31"
15005851;"QUE HORAS ELA VOLTA?";"QUE HORAS ELA VOLTA?";2015;"ANA LUIZA MACHADO DA SILVA MUYLAERT";"2015-07-31"
15005857;"ÍDOLO";"ÍDOLO";2015;"RICARDO CALVET JOHN";"2015-07-30"
15004476;"THE NEW GIRLFRIEND";"UMA NOVA AMIGA";2014;"FRANÇOIS OZON";"2015-07-29"
15004904;"SICARIO";"SICARIO";2015;"DENIS VILLENEUVE";"2015-07-29"
15005773;"LA TÊTE HAUTE";"DE CABEÇA ERGUIDA";2015;"EMMANUELLE BERC";"2015-07-29"
15005845;"RACIAL VIOLATIONS 2";"VIOLAÇÃO RACIAL 2";2007;"L. T.";"2015-07-29"
15005840;"BLACK MASS";"ALIANÇA DO CRIME";2015;"SCOTT COOPER";"2015-07-28"
15003134;"DIARY OF A CHAMBERMAID";"DIARIO DE UMA CAMAREIRA";2015;"BENOÎT JACQUOT";"2015-07-27"
15004230;"THE FANTASTIC FOUR";"QUARTETO FANTÁSTICO";2015;"JOSH TRANK";"2015-07-27"
15005756;"JIA ZHANG-KE, UM HOMEM DE FENYANG";"JIA ZHANG-KE, UM HOMEM DE FENYANG";2015;"WALTHER MOREIRA SALLES JUNIOR";"2015-07-27"
15005833;"P´TIT QUIN QUIN";"O PEQUENO QUIN QUIN";2014;"BRUNO DUMONT";"2015-07-27"
15004475;"PHOENIX";"FÊNIX";2014;"CHRISTIAN PETZOLD";"2015-07-23"
15005740;"DO YOU BELIEVE?";"VOCÊ ACREDITA?";2015;"JON GUNN";"2015-07-23"
15005630;"PLEASERS";"TENTAÇÃO  OBSCENA";2007;"MR PETE";"2015-07-22"
723649;"CATIVAS - PRESAS PELO CORAÇÃO";"CATIVAS - PRESAS PELO CORAÇÃO";2014;"JOANA GUEDES NIN FERREIRA";"2015-07-22"
15004823;"BARBECUE";"SOBRE AMIGOS, AMOR E VINHO";2014;"ERIC LAVAINE";"2015-07-21"
15005437;"NINGUÉM AMA NINGUÉM...POR MAIS DE DOIS ANOS";"NINGUÉM AMA NINGUÉM...POR MAIS DE DOIS ANOS";2015;"CLOVIS VIEIRA DE MELLO JUNIOR";"2015-07-21"
15005544;"A ESPERANÇA É A ÚLTIMA QUE MORRE";"A ESPERANÇA É A ÚLTIMA QUE MORRE";2015;"CALVITO PEREIRA LEAL";"2015-07-21"
15004590;"PARTY GIRL";"PARTY GIRL";2014;"CLAIRE BURGER";"2015-07-20"
15005629;"BRAVA GENTE ITALIANA";"BRAVA GENTE ITALIANA";2015;"SERGIO CUNHA SBRAGIA";"2015-07-20"
15005678;"CONDUCTA";"NUMA ESCOLA DE HAVANA";2014;"ERNESTO DARANAS";"2015-07-20"
697343;"HAIR AND SOUL";"HAIR AND SOUL";2012;"GANDJA MONTEIRO";"2015-07-15"
14025479;"GERONIMO";"GERONIMO";2014;"TONY GATLIF";"2015-07-14"
14025737;"TOP GUN";"TOP GUN";1986;"TONY SCOTT";"2015-07-14"
15005118;"SOUTHPAW";"NOCAUTE";2015;"ANTOINE FUQUA";"2015-07-14"
15005436;"HERMÓGENES, PROFESSOR E POETA DO YOGA";"HERMÓGENES, PROFESSOR E POETA DO YOGA";2015;"BARBARA DE OLIVEIRA TAVARES ALMEIDA";"2015-07-14"
700066;"HYSTERIA";"HYSTERIA";2012;"AVA PATRYA YNDIA YRACEMA GAITAN ROCHA";"2015-07-14"
711127;"INVASORES";"INVASORES";2013;"MARCELO FREITAS TOLEDO DE MELO";"2015-07-14"
714898;"PAUÊ - O PASSO DE UM VENCEDOR";"PAUÊ - O PASSO DE UM VENCEDOR";2013;"ALESSANDRA DE OLIVEIRA PEREIRA";"2015-07-14"
724163;"A CASA DE CECÍLIA";"A CASA DE CECÍLIA";2014;"CLARISSA APPELT BAPTISTA SAN ROMAN";"2015-07-14"
724604;"HIPÓTESES PARA O AMOR E A VERDADE";"HIPÓTESES PARA O AMOR E A VERDADE";2014;"RODOLFO VAZQUEZ GARCIA";"2015-07-14"
14026094;"THE BREAKFAST CLUB";"CLUBE DOS CINCO";1985;"JOHN HUGHES";"2015-07-13"
15005311;"SNOWPIERCER";"EXPRESSO DO AMANHÃ";2013;"BONG JOON HO";"2015-07-13"
14027967;"CITIZEN KANE";"CIDADÃO KANE";1941;"ORSON WELLES";"2015-07-10"
14027636;"NORTE, HANGGANAN NG KASAYSAYAN";"NORTE, O FIM DA HISTÓRIA";2013;"LAV DIAZ";"2015-07-08"
15004910;"E.T";"E.T. O EXTRATERRESTRE";1982;"STEVEN SPIELBERG";"2015-07-08"
15004931;"VACATION";"FÉRIAS FRUSTRADAS";2015;"JOHN FRANCIS DALEY";"2015-07-08"
15004932;"THE INTERN";"UM SENHOR ESTAGIÁRIO";2014;"NANCY MEYERS";"2015-07-08"
15005002;"O MISTÉRIO DA FELICIDADE";"O MISTÉRIO DA FELICIDADE";2013;"DANIEL BURMAN";"2015-07-08"
445935;"ALUCINADOS";"ALUCINADOS";2008;"ROBERTO SANTUCCI FILHO";"2015-07-08"
15000878;"O MAR DE TERESA";"O MAR DE TERESA";2014;"DILEA FRATE";"2015-07-06"
14025133;"KRAFTIDIOTEN";"O CIDADÃO DO ANO";2014;"HANS PETTER MOLAND";"2015-07-03"
15005138;"MASTERMINDS";"GÊNIOS DO CRIME";2015;"JARED HESS";"2015-07-03"
15003998;"CONDADO MACABRO";"CONDADO MACABRO";2015;"ANDRE DE CAMPOS MELLO";"2015-07-02"
15004777;"VYI";"IMPÉRIO PROIBIDO";2014;"OLEG STEPCHENKO";"2015-07-02"
16001981;"CES AMOUR-LÀ";"ESSES AMORES";2010;"CLAUDE LELOUCH";"2015-07-02"
15004847;"EVEREST";"EVERESTE";2015;"BALTASAR KORMAKUR";"2015-07-01"
15004853;"TRAINWRECK";"DESCOMPENSADA";2015;"JUDD APATOW";"2015-07-01"
15004854;"HOTEL TRANSYLVANIA 2";"HOTEL TRANSILVANIA 2";2015;"GENNDY TARTAKOVSKY";"2015-07-01"
15004855;"THE WALK";"A TRAVESSIA";2015;"ROBERT ZEMECKIS";"2015-07-01"
15004856;"GOOSEBUMPS";"GOOSEBUMPS - MONSTROS E ARREPIOS";2015;"ROB LETTERMAN";"2015-07-01"
15004857;"THE VISIT";"A VISITA";2015;"M. NIGHT SHYAMALAN";"2015-07-01"
15004858;"SPECTRE";"007 CONTRA SPECTRE";2015;"SAM MENDES";"2015-07-01"
15004859;"CRIMSON PEAK";"A COLINA ESCARLATE";2015;"GUILLERMO DEL TORO";"2015-07-01"
15004846;"RICKI AND THE FLASH";"RICKI AND THE FLASH: DE VOLTA PRA CASA";2015;"JONATHAN DEMME";"2015-06-30"
16001968;"DANCING DREAMS";"SONHOS EM MOVIMENTO";2010;"RAINER HOFFMANN;ANNE LINSEL";"2015-06-30"
731095;"DOIS CASAMENTOS";"DOIS CASAMENTOS";2014;"LUIZ ROSEMBERG FILHO";"2015-06-30"
14025480;"KIRIKOU ET LES HOMMES ET LES FEMMES";"KIRIKU: OS HOMENS E AS MULHERES";2012;"MICHEL OCELOT";"2015-06-29"
15004627;"QU'EST-CE QU'ON A FAIT DU BON DIUE?";"QUE MAL EU FIZ A DEUS";2014;"PHILIPPE DE CHAUVERON";"2015-06-29"
15004819;"NEXT TIME I'LL AIM FOR THE HEART";"NA PRÓXIMA, ACERTO NO CORAÇÃO";2014;"CÉDRIC ANGER";"2015-06-26"
15004820;7500;"VOO 7500";2014;"TAKASHI SHIMIZU";"2015-06-26"
15004860;"TOUTE PREMIÈRE FOIS";"BEIJEI UMA GAROTA";2015;"MAXIME GOVARE";"2015-06-26"
698245;"REFERENDO";"REFERENDO";2012;"JAIME LERNER";"2015-06-26"
15004664;"ROGER WATERS THE WALL";"ROGER WATERS THE WALL";1999;"ROGER WATERS";"2015-06-24"
727936;"MUITOS HOMENS NUM SÓ";"MUITOS HOMENS NUM SÓ";2014;"MARIA IZABEL KERTI";"2015-06-24"
14023911;"CAMPO DE JOGO";"CAMPO DE JOGO";2013;"ERYK ARUAC GAITAN ROCHA";"2015-06-23"
15004518;"ATO, ATALHO E VENTO";"ATO, ATALHO E VENTO";2014;"MARCELO SA MOREIRA MASAGAO";"2015-06-23"
720507;"CARIOCA - OS CARAS E AS CARAS";"CARIOCA - OS CARAS E AS CARAS";2013;"LIBERO SUPRANI NETO";"2015-06-17"
15001868;"SHUIYIN JIE";"RUA SECRETA";2013;"VIVIAN QU";"2015-06-16"
15004502;"VILANOVA ARTIGAS: O ARQUITETO E A LUZ";"VILANOVA ARTIGAS: O ARQUITETO E A LUZ";2015;"LAURA ARTIGAS FORTI";"2015-06-16"
15004510;"TED 2";"TED 2";2015;"SETH MACFARLANE";"2015-06-16"
15004314;"O SOL NOS MEUS OLHOS";"O SOL NOS MEUS OLHOS";2013;"FLORA DIAS NUNES DA SILVA";"2015-06-15"
724482;"CIDADE DE DEUS, 10 ANOS DEPOIS";"CIDADE DE DEUS, 10 ANOS DEPOIS";2013;"CARLOS VINICIUS BORGES";"2015-06-15"
15003918;"FERNANDO E SOROCABA";"FERNANDO E SOROCABA";2015;"LUIZ FERNANDO TREVISAN FERREIRA";"2015-06-12"
15004456;"NERUDA";"NERUDA";2014;"MANUEL BASOALTO";"2015-06-12"
15004341;"IRRATIONAL MAN";"HOMEM IRRACIONAL";2015;"WOODY ALLEN";"2015-06-11"
609332;"A HORA E A VEZ DE AUGUSTO MATRAGA";"A HORA E A VEZ DE AUGUSTO MATRAGA";2011;"VINICIUS GENTIL COIMBRA";"2015-06-11"
724850;"OBRA";"OBRA";2014;"GREGORIO GRAZIOSI";"2015-06-11"
15001553;"BÁ";"BÁ";2015;"LEANDRO TADASHI DUARTE";"2015-06-10"
15003987;"PARCEIRAS ETERNAS";"LIFE PARTNERS";2014;"SUSANNA FOGEL";"2015-06-10"
15003988;"UNE REENCONTRE";"UM REENCONTRO";2014;"LISA AZUELOS";"2015-06-10"
15001057;"A NAÇÃO QUE NÃO ESPEROU POR DEUS";"A NAÇÃO QUE NÃO ESPEROU POR DEUS";2015;"LUCIA MARIA MURAT VASCONCELLOS";"2015-06-09"
15002398;"COBAIN: MONTAGE OF HECK";"COBAIN - MONTAGE OF HECK";2015;"BRETT MORGEN";"2015-06-09"
15002416;"LES YEUX JAUNES DES CROCODILES";"OS OLHOS AMARELOS DOS CROCODILOS";2014;"CÉCILE TELERMAN";"2015-06-09"
15002708;"KNOCK KNOCK";"BATA ANTES DE ENTRAR";2015;"ELI ROTH";"2015-06-09"
15003061;"ENVELHESCÊNCIA";"ENVELHESCÊNCIA";2014;"GABRIEL MARTINEZ PEREIRA";"2015-06-09"
15003070;"TU VEUX OU TU VEUX PAS";"SEXO, AMOR E TERAPIA";2014;"TONIE MARSHALL";"2015-06-09"
15003609;"GEMMA BOVERY";"GEMMA BOVERY";2014;"ANNE FONTAINE";"2015-06-09"
15003875;"PAPER TOWNS";"CIDADES DE PAPEL";2015;"JAKE SCHREIER";"2015-06-09"
15003876;"DRAGONBALL Z: FUKKATSU NO FREEZA";"DRAGONBALL Z: O RENASCIMENTO DE FREEZA";2015;"TADAYOSHI YAMAMURO";"2015-06-09"
15003986;"KID CANNABIS";"4:20";2014;"JOHN STOCKWELL";"2015-06-09"
15004065;"MISSION: IMPOSSIBLE - ROGUE NATION";"MISSÃO: IMPOSSÍVEL - NAÇÃO SECRETA";2015;"CHRISTOPHER MCQUARRIE";"2015-06-09"
15004348;"INSIDIOUS: CHAPTER 3";"SOBRENATURAL: A ORIGEM";2015;"LEIGH WHANNELL";"2015-06-09"
