"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
19002355;"LAÇOS";"LAÇOS";2019;"DANIEL MARQUES REZENDE PEREIRA";"2019-05-29"
15009373;"IMAGINE DRAGONS: SMOKE + MIRRORS LIVE";"IMAGINE DRAGONS: SMOKE + MIRRORS AO VIVO";2015;"DICK CARRUTHERS";"2019-05-28"
730082;"DEEP BREATH";"DEEP BREATH";2014;"BEN WHEATLEY";"2019-05-28"
18004950;"SIR";"A COSTUREIRA DE SONHOS";2018;"ROHENA GERA";"2019-05-27"
19002291;"TOY STORY 4";"TOY STORY 4";2019;"JOSH COOLEY";"2019-05-23"
19002365;"LITTLE TICKLES";"INOCENCIA ROUBADA";2018;"ANDRÉA BESCOND";"2019-05-22"
19001596;"VARDA BY AGNÈS";"VARDA POR AGNÈS";2019;"AGNÈS VARDA";"2019-05-21"
19000857;"SUNSET";"ENTARDECER";2018;"LÁSZLÓ NEMES";"2019-05-20"
19002122;"DOIS";"DOIS";2019;"GABRIELA BOERI PACHECO DE CASTRO";"2019-05-20"
19002326;"BACURAU";"BACURAU";2019;"JULIANO DORNELLES DE FARIA NEVES";"2019-05-20"
19002327;"DIVINO AMOR";"DIVINO AMOR";2019;"GABRIEL MASCARO SEABRA DE MELO";"2019-05-20"
19002230;"POMS";"AS RAINHAS DA TORCIDA";2019;"ZARA HAYES";"2019-05-17"
19002276;"PAW PATROL: MIGHTYPUPS";"PATRULHA CANINA: SUPERFILHOTES";2019;"CHARLES E. BASTIEN";"2019-05-15"
19002223;"SANTIAGO, ITÁLIA";"SANTIAGO, ITÁLIA";2018;"NANNI MORETTI";"2019-05-14"
19002239;"BOOKSMART";"FORA DE SÉRIE";2019;"OLIVIA WILDE";"2019-05-14"
18004943;"AMANDA";"AMANDA";2018;"MIKHAËL HERS";"2019-05-10"
19002025;"TEEN SPIRIT";"ESPÍRITO JOVEM";2018;"MAX MINGHELLA";"2019-05-10"
19002036;"NONA - SI ME MOJAN YO LOS QUEMO";"NONA - SI ME MOJAN YO LOS QUEMO";2018;"CAMILA JOSÉ DONOSO";"2019-05-10"
18004742;"HUMBERTO MAURO";"HUMBERTO MAURO";2018;"ANDRE FELIPPE DI MAURO";"2019-05-09"
19000460;"DIANE";"A VIDA DE DIANE";2018;"KENT JONES";"2019-05-09"
